0	丝米 分 零点五
toad	癞蛤蟆 蛤蟆 蜍 蟆 蟾 蟾蜍 黾
toadstool	毒蕈
toady	拍马者 溜舐 顺民 马屁精
toadying	扒高踩低 拍马屁 钻营
toandfro	拉锯战
toast	嘎了 多士 烤面包 酢
toasted	烤面包
toaster	烤面包机
tobacco	旱烟 淡巴菰 烟 烟瘾 烟草 烟袋 烟酒 烤烟
toccata	托卡塔 触技曲
tocfl	华语文能力测验
today	今儿 今儿个 今天 今日 今朝 本日
todo	待办事项列表
toe	指头 楦头 脚趾 脚趾头 趾
toefl	托福
toeic	多益 托业
toenail	脚指甲 趾甲
toes	足尖
toffee	太妃糖 牛奶糖
tofu	白玉 豆腐 豆腐皮
together	一同 一块 一致 一起 一道 与 伙 偕同 共 共同 厮 双双 合 同 和 在一起 并 相偕 联袂 连同
togo	多哥
togtoh	托克托 托克托县
toil	劳动 苦劳
toilet	一号 便器 便所 卫生用纸 卫生纸 卫生间 卷纸 厕 厕具 厕所 厕纸 吸把 坐厕垫 垫圈 手纸 擦腚纸 更衣室 洗手间 盥洗室 茅房 草纸 香皂 香胰子 马桶
toilets	化妆室
toilsome	勚
tojo	东条英机
tokamak	托卡马克
tokay	蛤蚧 蛤蟹
tokelau	托克劳
token	代币 令牌 令牌环 令牌环网 信物 意思 标记 滥竽充数 码子 符记 符记环 筹 聊备一格 象征 象征性 辅币
tokharian	吐火罗人
toktoghan	脱脱
tokugawa	德川
tokyo	东京 东京塔 东京大学 东京帝国大学 东京湾
tola	拖拉
tolar	托拉尔
toledo	托莱多
tolerable	可容忍 马马虎虎
tolerably	过得 过得去
tolerance	余量 公差 包容心 器量 度量 心眼 心路 承受力 气量 耐受力 耐受性 雅量
tolerant	仁厚 假借 宽厚 宽大仁爱 宽容
tolerating	养痈贻患 养痈遗患
toli	托里 托里县
toll	榷 路费 过路费 通行税
tollbooth	收费站
tolstoy	托尔斯泰
toluene	甲苯
tolui	拖雷
tom	冬荫 冬荫功 大拇指 张三，李四，王五，赵六 汤姆 汤姆·克兰西 汤姆·克鲁斯 汤姆·罗宾斯
tomatillo	黏果酸浆
tomato	番茄 番茄汁 番茄酱 西红柿
tomb	古墓丽影 圹 坆 坟 坟墓 坟茔 堎 墓 墓坑 墓穴 墓葬 墓道 平坟 摸金校尉 无名战士墓 无名烈士墓 穸 阴宅 陵 陵墓 陵寝
tomboy	假小子 太妹 男人婆
tombstone	墓石 墓碑
tomcat	公猫 郎猫
tomiichi	村山富市
tomonaga	朝永振一郎
tomorrow	明儿 明儿个 明天 明日 明早 明晚 明朝 未来 来朝 翌
tomtom	嗵嗵鼓 筒鼓
ton	公吨 吨
tonal	声调语言
tonality	调性
tone	乐音 五音不全 反问语气 变调 口吻 口气 口锋 口风 声 声气 声调 声调轮廓 字调 笔调 腔调 色调 话茬 话音 语气 语调 调 调号 调头 调子 调性 调门 连续变调 音 音痴 音色 音调 音质 音高
tonearm	唱臂
toner	墨粉 感光鼓 爽肤水 硒鼓 碳粉
tones	七声
tong	同安区 糖水 通县
tonga	东加 汤加 汤加群岛
tongariro	汤加里罗
tongbai	桐柏县 桐柏山
tongcheng	桐城市 通城县
tongchuan	通川区 铜川市
tongchui	铜锤花脸
tongdao	通道侗族自治县
tongde	同德 同德县
tonggu	铜鼓县
tongguan	潼关 潼关县 铜官区
tonghai	通海 通海县
tonghe	通河县
tonghua	通化县 通化市
tongji	同济大学
tongjia	佟佳江
tongjiang	同江市 通江 通江县
tongli	同理
tongliang	铜梁区
tongliao	通辽市
tongling	铜陵市
tonglu	桐庐 桐庐县
tongluo	铜锣 铜锣乡
tongmenghui	中国同盟会 同盟会
tongnan	潼南区
tongren	铜仁市
tongrentang	同仁堂
tongs	夹子 夹持 夹钳 钳 钳子 铗子
tongshan	通山县
tongue	压舌板 口条 拗口令 火舌 脷 舌 舌头 舌根 舌钉 讷涩
tonguelashing	臭骂 骂声
tongues	人言籍籍 灵语 议论纷纷
tonguetied	碍口 碍口识羞 结舌
tonguetwister	别嘴 绕口令
tongwei	通渭县
tongwen	同文馆
tongxiang	桐乡市
tongxiao	通霄 通霄镇
tongxin	同心 同心县
tongxu	通许县
tongyu	通榆县
tongzhou	通州区
tongzi	桐梓县
tonic	主和弦 主音 大补帖 奎宁水 汤力水 滋补品 补剂 补品 补药 食补
tonight	今夜 今晚
tonka	薰
tonkilometer	吨公里
tonkin	东京 北圻
tonnage	吨位 吨数 吨级
tonne	英吨
tonsil	扁桃体 扁桃腺 扁穴
tonsillitis	扁桃体炎 扁桃腺炎
tonsure	剃度
tony	托尼 陈庆炎
tonyukuk	暾欲谷
too	上不了台面 不划算 不及 不堪设想 不巧 不胜枚举 为时过早 举不胜举 也 人浮于事 伤心惨目 同样 后悔不迭 后悔莫及 多 多礼 大不列蹀 太 太过 妙不可言 忒 悔之已晚 悔之无及 撕毁 数不胜数 数不过来 无暇 更仆难数 杜口裹足 爽歪了 畏缩不前 碍口 糟糕 缓不济急 罄笔难书 聪明反被聪明误 聪明过头 腿了 自顾不暇 话多不甜 赶不及 超龄 蹑跟 过 过于 过低 过多 过少 过热 过犹不及 过高 追悔莫及 重足而立 隐秘难言 鞭长莫及 高不可攀 齐大非偶
tool	丫杈 具 刀库 刀片 器 工具 换刀 枘 械 檃 櫽 砻
toolbar	兔爸 工具条 工具栏
toolbox	工具箱
toolchain	工具链
toot	嘟 嘟嘟响
tooth	牙 牙巴 牙粉 牙釉质 牙髓 牙齿 珐琅质 虫牙 蛀牙 轮齿 齿 齿蠹 齿龋 龋齿
toothache	牙痛
toothbrush	卫生胡 牙刷
toothed	齿鲸
toothless	无牙 齾
toothpaste	牙膏
toothpick	牙签
tooting	嘟嘟响
top	A咖 一号 一哥 一姐 一流 上半部分 上将军 上梁 上第 上级领导 书眉 健儿 健将 全节流 全速 八强 前 前三甲 前调 加人一等 名模 品学兼优 大亨 大班 大礼帽 大鳄 头冠 头号 头条新闻 头顶 对流层顶 小攻 尖子生 居首 当务之急 总司令 排名榜 攻 最高等 极 楼顶 榜首 特急 特等 特级 状元 王牌 珩 琼浆玉液 甲第 甲级 百强 盖 眉端 礼帽 神不知鬼不觉 绝密 绝密文件 脑瓢儿 街头巷尾 追肥 锅台 面 顶 顶头 顶夸克 顶尖 顶尖级 顶层 顶杆 顶楼 顶部 顶阀 顶面 颠 首富 高位 高干 高档 高级军官 高速挡
topaz	红璧玺 茶晶 蓝晶 黄玉
topclass	星级
topcoat	大衣
topdown	自上而下 自顶向下
topdressing	面肥
topeka	托皮卡
toper	醉翁
topgrade	上色 八级工
topheavy	头重 头重脚轻
topic	议题 讲题 论题 话茬 话锋 话题 语锋 谈资 问题 题 题目
topknot	丫髻
topless	上空 上空洗车 膀爷
topmost	顶部
topnotch	一等一 上好 上等 拔尖 精干高效 顶呱呱 顶级
topographic	地形图
topography	地势 地形 山势
topolect	方言
topological	拓扑空间 拓扑结构
topology	拓扑 拓扑学
toponym	地名
topping	拔顶 盖头
topquality	上品 上色
topranked	一哥 一姐
topsoil	浮土 表土
topsy	乱糟糟
toptier	顶会 顶刊 顶流
toqsu	新和 新和县
tora	托拉博拉
torch	手电 火把 火把节 火炬 炬 熜 爝 蒸
torchbearer	火炬手
toreador	斗牛士 斗牛士之歌
torii	鸟居
torino	都灵
torment	煎熬
torments	受罪
tornado	旋风 龙卷 龙卷风
torobiawan	哆啰美远 哆啰美远族
toroidal	环状
toronto	多伦多
torpedo	鱼雷 鱼雷艇
torque	力矩 变矩器 扭力 扭矩 旋转力 转矩 转矩臂
torr	托
torrent	急流 悬河 泥石流 滔 激流 狗血喷头 霈 驶流
torrential	暴雨 汹 泷 浩浩 滔滔 激流 黑雨
torrents	滂沱大雨
torreya	棐 榧
torrid	炙酷 酷热
torsion	扭力 扭转
torso	本体 胴 躯干
torsor	旋子
tort	侵权行为
tortilla	玉米片
tortoise	乌龟 乌龟壳 六角括号 玳 玳瑁壳 甲骨 金龟 陆龟 龟 龟壳 龟板 龟甲
tortoiseshell	三毛猫 玳瑁
tortuous	盘曲 盘陀路 迂回 迂曲
torture	严刑拷打 刑 刑具 刑堂 刑房 桁杨 桁杨刀锯 毒刑 洋罪 煎熬 熬煎 苦刑 酷刑 酷刑折磨
tortured	受刑
torus	环面
tory	托利党
toshiba	东芝
toss	投桃报李
tossed	随风 风雨漂摇 风雨飘摇
tossing	滟
total	不识一丁 亡国灭种 全军覆没 全影 全损 全攻全守 全权 全胜 全蚀 全面 全面禁止 全食 共 加和 加总 完形 总产值 总产量 总人口 总价 总体 总值 总分 总回报 总成本 总收益 总数 总次数 总能 总计 总谐波失真 总重 总量 总长 总额 整个 日全食 月全食 横扫千军 生产总值 码洋 社会总需求 积分 菜鸡 销售额
totalitarian	极权
totalitarianism	极权主义
totally	一团漆黑 一字不识 一无所动 全复 千依百顺 完全 总体 攰 无所畏忌 毫无效果 活活 浑然 浑然不觉 满拧 百分之一百 百分百 目不识丁 稀 统统 迥异 遂心如意
tote	托特
totem	图腾
totoro	龙猫
tottering	摇摇欲坠 漂摇 臲 颤巍巍 飘摇
toucan	大嘴鸟 巨嘴鸟
touch	摸吧 泊 笔锋 触感 触控萤幕 魔鬼毡 魔鬼粘
touchandgo	惊险
touchdown	着陆 达阵
touched	感触
toucheng	头城 头城镇
touching	动人 感人 打动 缠绵
touchmenot	凤仙花
touchpad	触控板 触摸板
touchscreen	触屏 触控屏 触控屏幕 触控式萤幕 触控萤幕 触摸屏 触摸屏幕
touchstone	试金石
toufen	头份 头份镇
tough	劲草 厉害 坚韧 强悍 强硬 强硬立场 强韧 彪悍 憨 熊腰虎背 皮实 硬仗 硬骨头 老 艮 虎背熊腰 辛苦 遇强则强 韧
toughness	韧性 骨力
toulon	土伦
toulouse	图卢兹 图卢斯
tour	全陪 地接 地陪 导游 带队 旅游 旅游团 旅游集散中心 旅行团 游导 环法 环法自行车赛
tourdeforce	绝技
tourette	图雷特氏综合症 妥瑞症 抽动症
tourism	旅游 旅游业 观光
tourist	大陆客 度假区 旅客 旅游城市 旅游景点 旅游者 旅游胜地 景点 游客 游览区 观光区 观光客
tourmaline	电气石 碧玺
tournament	比武 赛制 马上比武
tours	图尔
toushoudaiji	唐招提寺
tout	托儿
toutiao	今日头条 头条
toutunhe	头屯河区
touwu	头屋 头屋乡
tow	拖吊车 拖链 牵绳
toward	于 朝向
towards	侵晨 傍午 傍晚 冲 向 向暮 向着 奔 对 对华 对日 对美 往 望 朝 朝着 管 跟
towed	拖车
towel	巾 毛巾 羊肚手巾
towelette	湿巾
tower	中流砥柱 佛香阁 塔 塔吊 塔扇 塔楼 塔防 层楼 巴别塔 楼台 高塔 魏
towering	万丈高楼平地起 兀 凌云 岌嶪 峥嵘 崇山峻岭 崔嵬 崔巍 崛 崭 崭然 巍 巍峨 巍巍 巍然 巍然屹立 摩天 滔天 硙硙 突兀 耸 豪杰 高大 高矗 高耸
towing	拖带 拖车
town	公交车 城 城市 城市规划 城镇 市井 市议员 浩特 聚落 街溜子 街谈巷议 鎭 镇子 镇长 集镇
townhouse	排屋 联体别墅 透天厝
towns	城邑 市县
township	乡 乡镇 镇区
townsite	城址
townspeople	城里人
towpath	纤道
towrope	弹子
toxic	中毒性 毒气
toxicity	毒性
toxicology	毒理学
toxin	毒素
toxogonin	双复磷
toxoid	类毒素
toxoplasma	弓形虫 弓浆虫 弓虫
toy	尜 尜尜 扭蛋 玩 玩偶 玩具 玩具厂 玩具枪 玩意 玩物 积木 转蛋
toyota	丰田
toyotomi	丰臣秀吉
tpiece	三通
tpipe	三通
trabecular	稀松骨质
trace	印子 印记 形迹 影 影踪 微量 微量元素 痕迹 纹 踪 踪影 踪迹 迹 遗迹
traceable	一脉相承
traceless	无痕
tracer	曳光弹
traces	痕 蛛丝马迹 行迹 迹证 陈迹 靷
trachea	气管
tracheid	管胞
tracheophytes	维管束植物
tracheospasm	气管痉挛
tracheotomy	气切 气管切开术
trachoma	沙眼
trachycarpus	栟
track	场地自行车 径 径赛 径迹 政绩 田径 田径赛 田径运动 线路 行踪 足迹 跑道 路轨 轨 轨迹 轨道 辙 迳赛 迳迹 野径 音轨
trackball	轨迹球
tracked	有轨
tracker	跟踪器
tracking	跟踪 追踪号码
trackless	无轨
trackpad	触摸板
tracks	行止 行迹 踪 踪迹
tract	面积
tractable	驯善
traction	抓地力 拖动力 拖带 牵引力
tractor	拖拉机 拖曳机 曳引车 牵引车
tracy	麦迪
trade	中专 交易会 信风 入超 出超 加工贸易 同业公会 商业 商展 商战 商约 商贸 商路 展销会 工 工会 手艺 旧业 行 行业 贸 贸易 贸易中心 贸易保护主义 贸易协定 贸易壁垒 贸易战 贸易组织 贸易逆差 贸易顺差 逆差 集贸
trademark	品牌 唛头 商标 牌 牌号 牌子
tradeoff	有得有失
trader	业者 交易员 商户 商贩
tradesman	坐商 水电工
trading	交易市场 交易日 商埠 商港 商行 埗 熔断机制 贸易伙伴 贸易公司
tradition	习俗 传统 正统 武术 相传 遗风
traditional	三合土 丝竹 丫角 中医 中医学 中药 仕女 传产 传统 切糕 反切 古早味 回禄 国服 国画 国风 土楼 土法 太极拳 工尺谱 月子 正体 正体字 正统 汉服 清红帮 玛仁糖 琴书 童玩 繁体 繁体字 繁简 蒙药 道袍 长衫 青红帮 靠
traditionalist	卫道士
traditionally	伽
traditionalstyle	八角床
traditions	家法
trafalgar	特拉法加广场 特拉法尔加 特拉法尔加广场
traffic	义交 交管 交规 交警 交通 交通协管员 交通堵塞 交通意外 交通拥挤 交通枢纽 交通标志 交通灯 交通规则 交通警察 交通锥 交通阻塞 回堵 回旋处 圆环 堵塞费 堵车 塞车 安全岛 浏览量 环岛 电子眼 电子警察 红绿灯 路锥 车流 车祸 车行通道 车道 锥筒 雪糕筒
trafficker	枭 贩子
trafficking	人口贩运 贩卖人口
tragedy	公地悲剧 悲剧 惨剧 惨案
tragic	丧乱 悲剧性 悲剧缺陷 悲怆 悲惨 惨 惨况
tragicomedy	悲喜剧
trail	小径 小路 小道 形迹 线索 行径 踪迹
trailblazer	先驱 先驱者 开路先锋 排头兵 首创者
trailer	拖车头 挂车 活动房屋 片花 预告片
trailing	后缘 后脚 后钩 蔓生 蔹
train	乘警 列车 列车员 列车长 区间车 心路 思绪 机车 火车 火车头 火车票 火车站 站牌 车次
trainee	徒工 见习员
trainer	指导 教练 教练机 训练者
training	修养 功底 培植 培训 培训班 教练员 熏陶 训练 训练场 训练营 轮训 陪练
trait	因子 特征 特点
traitor	二鬼子 内鬼 卖国贼 反贼 叛徒 叛贼 叛逆者 国蠹 国贼 奸 奸官污吏 宄 汉奸 背叛者 负心汉 贼 逆产 逆贼
traitorous	民贼独夫 独夫民贼
trajectory	弹道 径迹 球路 轨迹 迹线
tram	当当车 有轨电车 电车 路面电车 车龙 铛铛车
tramcar	有轨电车
trammels	羁绊
tramp	泼贱人 流浪汉
trample	禸 蹂
trampoline	绷床 蹦床
tran	陈德良
trance	出神音乐
tranquil	婳 宁静 安宁 安谧 平靖 平静 心平气和 心静 恬 淡然 清净 清恬 澹 谧 辑睦 闲静 静恬 静谧 风平浪静 风恬浪静
tranquility	宁静 宁静致远
tranquilizer	定心丸 镇定剂 镇静剂
tranquillity	林壑
trans	反式 反式脂肪 横越
transaction	买卖 事务 交易 单据
transactor	经营者
transcaucasia	南高加索 外高加索
transceiver	无线电收发机
transcendental	超越数
transcendentalism	超越主义 超验主义
transcoding	转码
transcreation	创译
transcript	副本 笔录
transcription	转录 闹太套 音译
transducer	传感器 转换器
transfer	中转 中转柜台 传输模式 换乘 联运票 转会费 转学生 转注 转注字 转移支付
transferable	可转让
transferase	转氨酶
transference	移情
transferred	转义
transform	转换断层
transformation	变换群 幻化 癌变 蜕变 转变
transformed	变身
transformer	变压器
transformers	变形金刚
transgender	跨性别
transgression	愆
transient	一过性 与时消息 易逝 暂态 朝生暮死 槿 流动人口 浮 浮云 瞬态 稍纵即逝 过客
transisomer	反式脂肪
transistor	晶体管 电晶体
transit	中转站 巴铁 转口 转运站 轻型轨道交通 轻轨 过境 过境签证 过站大厅
transition	跃迁 过渡 过渡时期 过渡金属
transitional	过渡性
transitive	传递 及物 及物动词
transitory	转瞬即逝
translated	海上花列传 被译 译名 译文 译著
translation	会士 平移 意译 换算 摘译 玄学 翻译 译本
translator	编译家 翻译 翻译家 翻译者 译员 译者 通译
translatoreditor	编译
transliterated	猫王
transliteration	摩诃 林卡 表音 译名 译音 閦 音译
translocation	移位 转位
translucent	半透明 开光 瑛 透亮 透光
transmissibility	传染性
transmission	传动带 传动机构 传动比 传动系统 传动装置 传输 传输媒体 传输媒质 传输控制 传输控制协定 传输模式 传输率 传输线 传输设备 传输距离 传输速率 传达 传送带 变速箱 挡位 排档 电塔 透射
transmitted	人传人 传入
transmitter	传递者 发射台 发射机 发送器
transmitterreceiver	电台
transmutation	嬗变 蜕变
transnational	跨国 跨国公司
transparency	幻灯片 透明度 透明程度 透通性
transparent	冏彻 开光 透光 透明 阳光
transpiration	蒸腾作用
transplant	移植手术
transponder	发射机应答器 异频雷达收发机
transport	中转站 交通费 传输层 传输服务 传输通道 搬运 航运 行路 车钱 输移 输送媒介 运价 运力 运单 运输网 运输舰 运输船 运销 驳运
transportable	方舱
transportation	交通 输运 运输 运输业
transported	货运
transposition	转位
transsexual	人妖 变性
transversal	横截线
transverse	横吹 横截 横振动 横断物 横波 横流 横神经 横结肠
transvestism	异装癖
transvestite	人妖
trap	圈套 天罗地网 存水弯 弇 捉捕器 擭 牢笼 笓 阱 陷 陷阱
trapdoor	活板
trapeze	吊杠 空中飞人
trapezium	不规则四边形 斜方型
trapezius	斜方肌
trapezoid	梯形
trapped	受困 困守 无路可逃 羊触藩篱 羝羊触藩 进退两难 进退为难 进退维谷
trash	垃圾 垃圾桶 垃圾箱 收废站 残余物 洋垃圾 脏土 货色
trashcan	垃圾筒
trauma	创伤 外伤 硬伤
travel	U型枕 不便险 川资 搭伴 散记 旅 旅充 旅平险 旅游 旅游景点 旅行社 旅行袋 旅行装备 旅费 游伴 游记 盘缠 盘费 自由行 航徽 行李袋 行程 西域记 资斧 走时 路条 路费 车程 驴友
travelator	自动步道
traveler	征人 征夫 征衣 征衫 旅客 旅游者 旅行支票 旅行者 游客 行人 行客 行旅
traveling	万里迢迢 商旅 盘费 行商 行囊 行波管 行箧 走步
travelworn	舟车劳顿 鞍马劳顿
travertine	石灰华 钙华
trawl	拖网
trawlnet	拖网
tray	屉 托盘 棜 盘 盘子 磨盘
treacherous	倾危 凶险 变幻莫测 叵测 奇谲 奸猾 奸险 毒手 蛇蝎 诡诈 诡谲 阴险 阴险毒辣 阴鸷 险滩 鬼蜮
treachery	奸诈 背信弃义
tread	步态 胎面 轮距
treadle	脚踏板 踏板
treadmill	跑步机 踏车
treadwheel	踏车
treason	卖国主义 叛国
treasure	宝 宝刀未老 宝物 宝藏 宝贝 宝货 寻宝 珍 百宝箱 知识宝库 聚宝盆 藏宝图 藏宝箱 重器 金银岛 鉆 钰
treasured	宝书 宝贝
treasurehouse	宝库
treasurer	主计 出纳员 财务秘书 财长
treasures	宝玉
treasuretrove	宝库
treasury	国库券 宝典 宝库 金库 集萃
treat	苦待
treating	童叟无欺 老少无欺 齐头式
treatise	举贤良对策 论文 论著 论述
treatment	实验组 对待 待遇 照护 疗法 补法 食疗
treaty	不扩散核武器条约 中俄伊犁条约 中俄尼布楚条约 中俄改订条约 中法新约 南京条约 商埠 天津条约 尼布楚条约 拉萨条约 改订伊犁条约 条约 瑷珲条约 约 议定书 通商口岸 里瓦几亚条约 马关条约
treble	三重 高音
tree	乔木 伐木工人 干 木 朳 林鹨 枙 树 树叶 树屋 树干 树木 树根 树桩 树洞 树液 树皮 树种 树胶 树蛙 树身 株 栭 桐 植苗 椿 楟 榦 牡丹 绿阴 翡翠 芲 采脂 马缨花
treedwelling	树栖
treefelling	伐木
treeless	牛山濯濯 童山濯濯
treelined	林阴大道
treeripe	树上熟 树熟
trees	绿树
treetop	树冠 树梢
trefoil	三叶草
trek	征途
trekking	登山杖
trellis	棚架 棚架格子
trematoda	吸虫
trematode	吸虫 吸虫纲
trembling	战战兢兢 歪歪斜斜 瑟瑟 簌簌发抖 索索 震响 震栗 震颤麻痹 颤声 颤巍巍
tremendous	九牛二虎之力 佳评如潮 巨 庞大
tremendously	红极一时
tremolo	震音
tremorine	震颤素
tremors	震感
trench	地堑 基坑 堑壕 堑壕战 壕 壕沟 战壕 战壕热 沟槽 渠沟 濠
trenchant	痛快淋漓 鞭辟入里
trend	倾向 动向 动态 势 潮流 走势 走向 趋势 趋向
trending	热评
trendsetter	潮人
trendy	拉风 洋气 潮
trenton	特伦顿
trepidation	心有余悸 惶
tresses	发绺
trestle	叉架 支架 栈架
trevor	特雷沃
tri	三项
triad	三合会 三和弦 主和弦
triads	江湖
trial	临时分居 审处 审讯 承审法官 考验 试制 试办 试婚 试播 试映 试杯 试爆 试用品 试用期 试用本 试算表 试销 试错
trials	千辛万苦 患难 风雨 风风雨雨
triangle	三角 三角形 三角板 三角铁 三边形
triangular	三角债 三角关系 三角旗 三角柱体 三角锥
triangulation	三角测量法
triangulum	三角座 南三角座
triassic	三叠纪 三迭纪
triathlon	三铁 三项 三项全能 铁三 铁人三项
tribal	君长 酋 酋长
tribalism	派性
tribe	乞伏 部族 部落
tribes	黄帝族
tribulation	磨难
tribulus	蒺
tribunal	审判庭
tribune	论坛报
tributary	支流 河汊 河涌 派 流派 贡国 财赋
tribute	賨 贡 贡品 贡物 贡茶 贡赋
tricarboxylic	柠檬酸循环
triceps	三头肌 肱三头肌
triceratops	三角恐龙 三角龙
trichiasis	倒睫
trichiurus	白带鱼
trichloromethane	哥罗芳
trichlorphon	敌百虫
trichomoniasis	滴虫病
trichoplax	丝盘虫
trick	伎俩 偏题 名堂 圈套 套子 戏 手段 手法 手脚 把戏 招 招数 撇步 机关 江湖一点诀 玩意 眉角 着 着数 策谋 经络 花头 花招 花样 花活 诀窍 诡计 错视 骗术
trickery	手腕 权谋 花点子 西洋镜
trickle	涓滴 滴流 潺
tricks	两下子 诀
tricky	七弯八拐 刁钻 挠头 油花 绕手 绕脖子 翻云覆雨 虚诈
tricoloured	栗腹文鸟
tricon	百胜餐饮
tricuspid	三尖瓣
tricycle	三轮车
trident	三叉戟 锽
triennial	祫
trier	特里尔
trieste	的里雅斯特
trifid	三叶星云
trifle	区区小事 小事 小儿科 琐事 破事 芝麻小事
trifles	细枝末节 脞
trifling	儿戏 区区 屁事 屑 琐 琐碎 璅 细 轻于鸿毛 𬨎
trifoliate	枸橘
triforium	拱廊
trigeminal	三叉神经
trigger	扳机 触发清单
triggering	诱因
triglyceride	三酸甘油酯 甘油三脂 甘油三酯
trigonometric	三角函数
trigonometry	三角学 三角法
trill	颤声 颤音
trillion	万亿 兆
trilobite	三叶虫
trilogy	三部曲
trim	笔挺 装饰道具
trimer	三聚体
trimeresurus	竹叶青 竹叶青蛇
trimmed	切口
trimmer	裁纸机
trimming	微调
trinidad	千里达及托巴哥 千里达和多巴哥 特立尼达 特立尼达和多巴哥
trinitrotoluene	三硝基甲苯 黄色炸药
trinity	三位一体
trinomial	三项 三项式
trio	三重奏
triode	三极管
triose	三碳糖 丙糖
trip	征 携程 旅 旅游 旅程 旅行 旅途 行
tripartite	鼎立 鼎足之势
tripe	下水 毛肚 百叶 肚
triphthong	三元音
tripitaka	三藏 八万大藏经 唐三藏 大藏经 高丽八万大藏经 高丽大藏经
triple	三倍 三合一 三合星 三相点 三级跳 三级跳远 三键
triplet	三联管
triplets	三胞胎
triplicate	三联式发票
triploblastic	三胚层动物
tripod	三脚架 云台 脚架 鼒
tripoli	的黎波里
tripura	特里普拉
trismus	牙关紧闭症
trisomy	21三体综合症 三体 先天愚型 染色体三倍体症
tristram	白眉鹀 褐翅叉尾海燕
trite	迂腐 陈腐
tritium	氚 超重氢
triton	瘰螈 蚖
triumph	大胜 捷
triumphal	凯 凯旋门 凯歌
triumphant	硕果 高歌猛进
trivalent	三价
trivet	支子 锅垫
trivia	冷知识 小节
trivial	区区小事 多大点事 小事 小事一桩 屑 有的没的 琐屑 琐碎 琐细 破事 稀松 稗 芝麻小事 芝麻绿豆 轻微 鸡毛
triviality	有的没的
trochaic	扬抑格
troika	三驾马车
trojan	木马 木马病毒 特洛伊木马
troll	巨魔 酸民
trolley	平板车 手推车 推车 轧道车
trolleybus	无轨电车 电车
trombone	伸缩喇叭 拉管 长号
troodos	特罗多斯
troop	人马 军心 阵容
troops	人马 兵力 兵卒 兵员 兵败如山倒 兵队 兵马 军队 军马 奇兵 师 戎行 戎马 所部 杂牌军 横队 疑兵 部 部下 部众 部属 部队 配属 队伍 麾下
tropaeolum	旱金莲
trope	桥段
trophoblastic	滋养层
trophoderm	滋养层
trophy	奖杯 杯 纪念奖 锦标
tropic	北回归线 南回归线 回归线 鹲
tropical	暑瘟 热带 热带雨林 热带风暴 热带鱼 猪笼草 瘴疠 马利筋
tropism	向性
tropopause	对流层顶
troposphere	变温层 对流层
tropylium	䓬
troubadour	游吟诗人
trouble	乱子 变生肘腋 周章 失风 娄子 平地起风波 患 故障排除 是非之地 烫手山芋 疑难解答 祸不旋踵 祸从口出 茶包 醋海生波 难处 麻烦
troubled	乱世 多事之秋 恓 愦 挂怀 方寸已乱 昏天黑地 浊世 穷愁 耿耿
troublemaker	坏分子 捣蛋鬼 搅屎棍 滚刀肉
troubles	坏处 烦心事 风雨欲来
troubleshooting	排查故障 排错
troublesome	事儿 作 刺儿头 卢 啰唆 奥客 棘楚 淘神 烦人 缠手 讨厌 费事 难缠 麻烦
trough	低谷 槽 波谷 浪谷 潋
troupe	演员阵容
trouser	裤口 裤管 裤腿
trousers	下身 裤 裤子 长裤
trousseau	妆 妆奁
trout	尊鱼 鲑 鲑鱼 鳟 鳟鱼
trowel	刮勺 小铲子 抹刀 泥刀 泥铲 鋘 铲子 镘
troy	金衡
truce	停战
truck	卡 卡车 货车 载货汽车
truculent	气势汹汹
trud	劳动报
true	人如其名 写实 千真万确 原形 实 实在 属实 心迹 心里话 患难见真情 挚情 挚爱 是 本来面目 本色 栩栩如生 正传 正儿八经 正史 正误 活灵活现 活龙活现 牛人 真 真伪 真假 真否定句 真实 真容 真彩色 真意 真格 真格的 真正 真爱 真的 真肯定句 真言 真诚 真诠 真身 真释 真金不怕火炼 真面目 确 确实 确有其事 绘声绘色 诚然 货真价实 逼真
truffle	块菌 松露 松露猪
truism	陈词滥调
truly	塙 洵 真 真个 真是 真的 着实 诚
trump	主 将牌 撒手锏 杀手锏 王牌
trumpet	喇叭 小号 箛
trumpeter	号兵 号手 吹鼓手
trumpetshape	喇叭形
truncheon	棍
trunk	主干 主干线 后备箱 干渠 干线 笼子 箧 箱 箱子 老本 行李箱 躯干
trunks	笈 裤头
trunnion	炮耳
truss	屋架 桁架
trussed	反剪 反接
trust	信 信义 信托 信誉 信靠 威信 托拉斯
trusted	亲信 军师 左膀右臂 幸 心腹 爱将 股肱
trustee	受托人 受托者
trusteeship	托管
trusting	侥幸心理
trustmart	好又多
trustor	委托人
trustworthiness	信用 诚信
trustworthy	信实 信得过 可信 守信用 把稳 靠得住
trusty	可信任
truth	天地良心 实不相瞒 实话 理 真值表 真善美 真心话大冒险 真理 说实话 谛
truthful	信
truthfulness	真实性
truths	目不见睫
try	达阵
trying	事儿 开倒车 欲盖弥彰 阵痛期 难捱
tryout	试镜
trypanosome	睡眠虫
trypanosomiasis	锥虫病
trypophobia	密恐 密集恐惧症
tryptophan	色氨酸 色胺酸
tryxalis	蟿
tsai	蔡志忠 蔡英文
tsaidam	柴达木 柴达木盆地
tsamba	糌粑
tsampa	糌粑
tsarist	帝俄 沙俄 沙皇俄国
tse	谢霆锋
tshaped	丁字
